853810"2018902021"Repeat Offender"4021 9TH ST, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"GLENDALE PARK"4021 9TH ST"MARRERO"W"
833129"2017918831"Repeat Offender"4021 9TH ST, MARRERO"8/24/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/24/2017"GLENDALE PARK"4021 9TH ST"MARRERO"W"
824214"2017915366"Repeat Offender"4021 9TH ST, MARRERO"7/18/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"07/18/2017"GLENDALE PARK"4021 9TH ST"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/01/2017"
822178"2017914537"Repeat Offender"4021 9TH ST, MARRERO"7/10/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"07/10/2017"GLENDALE PARK"4021 9TH ST"MARRERO"W"
810081"2017910170"Repeat Offender"4021 9TH ST, MARRERO"5/16/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"05/16/2017"GLENDALE PARK"4021 9TH ST"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/03/2017"
791297"2017903821"Repeat Offender"4021 9TH ST, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"GLENDALE PARK"4021 9TH ST"MARRERO"W"COMMENT"08/25/2017"COMMENT"08/07/2017"LETTER RETURNED"06/29/2017"COMMENT"06/26/2017"DEMAND LETTER"06/26/2017"COMMENT"05/18/2017"COMMENT"05/17/2017"COMMENT"05/04/2017"COMMENT"04/17/2017"BILLED"04/13/2017"COMMENT"03/23/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/22/2017"COMMENT"02/24/2017"INSPECTION COMPLETED/DATE"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
758316"2016917303"Repeat Offender"4021 9TH ST, MARRERO"8/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"08/04/2016"GLENDALE PARK"4021 9TH ST"MARRERO"W"COMPLAINT ENTERED/DATE"08/04/2016"COMPLAINT RECEIVED"08/04/2016"PROPERTY CUT BY PARISH CONTRACTOR"07/25/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/25/2016"COMMENT"05/17/2017"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"01/29/2018"
749728"2016913913"Repeat Offender"4021 9TH ST, MARRERO"6/28/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/28/2016"GLENDALE PARK"4021 9TH ST"MARRERO"W"COMPLAINT ENTERED/DATE"06/28/2016"COMPLAINT RECEIVED"06/28/2016"PROPERTY CUT BY PARISH CONTRACTOR"06/13/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/13/2016"COMMENT"05/17/2017"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"01/26/2018"
742925"2016911118"Repeat Offender"4021 9TH ST, MARRERO"5/27/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/27/2016"GLENDALE PARK"4021 9TH ST"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/19/2016"COMMENT"05/17/2017"ADVALOREM TAX ORDINANCE"05/03/2017"
739523"2016909792"Repeat Offender"4021 9TH ST, MARRERO"5/11/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/11/2016"GLENDALE PARK"4021 9TH ST"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/02/2016"
720636"2016902554"Repeat Offender"4021 9TH ST, MARRERO"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"GLENDALE PARK"4021 9TH ST"MARRERO"W"COMMENT"08/30/2016"COMMENT"07/26/2016"COMMENT"07/14/2016"LETTER RETURNED"06/29/2016"DEMAND LETTER"06/23/2016"COMMENT"06/22/2016"COMMENT"06/14/2016"COMMENT"05/17/2017"COMMENT"05/10/2016"ADVALOREM TAX ORDINANCE"05/03/2017"BILLED"04/08/2016"PROPERTY CUT BY PARISH CONTRACTOR"03/18/2016"COMMENT"02/18/2016"INSPECTION COMPLETED/DATE"02/17/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
853872"2018901988"Repeat Offender"1570 ABBEY RD, HARVEY"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"KENSINGTON GARDENS"1570 ABBEY RD"HARVEY"W"
854216"2018902004"Repeat Offender"1580 ABBEY RD, HARVEY"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"KENSINGTON GARDENS"1580 ABBEY RD"HARVEY"W"
854027"2018902022"Repeat Offender"1534 ABBEY RD, HARVEY"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"KENSINGTON GARDENS"1534 ABBEY RD"HARVEY"W"
846252"2017923405"Repeat Offender"1570 ABBEY RD, HARVEY"10/25/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"10/25/2017"KENSINGTON GARDENS"1570 ABBEY RD"HARVEY"W"LETTER RETURNED"01/04/2018"
846272"2017923411"Repeat Offender"1534 ABBEY RD, HARVEY"10/25/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"10/25/2017"KENSINGTON GARDENS"1534 ABBEY RD"HARVEY"W"PROPERTY CUT BY PARISH CONTRACTOR"10/10/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"10/10/2017"
832348"2017918535"Repeat Offender"1570 ABBEY RD, HARVEY"8/22/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/22/2017"KENSINGTON GARDENS"1570 ABBEY RD"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/29/2017"
832423"2017918549"Repeat Offender"1534 ABBEY RD, HARVEY"8/22/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/22/2017"KENSINGTON GARDENS"1534 ABBEY RD"HARVEY"W"PROPERTY CUT BY PARISH CONTRACTOR"07/29/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/29/2017"
824181"2017915345"Repeat Offender"1570 ABBEY RD, HARVEY"7/18/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"07/18/2017"KENSINGTON GARDENS"1570 ABBEY RD"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/01/2017"
824200"2017915356"Repeat Offender"1534 ABBEY RD, HARVEY"7/18/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"07/18/2017"KENSINGTON GARDENS"1534 ABBEY RD"HARVEY"W"PROPERTY CUT BY PARISH CONTRACTOR"07/01/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/01/2017"
819370"2017913592"Repeat Offender"1534 ABBEY RD, HARVEY"6/27/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/27/2017"KENSINGTON GARDENS"1534 ABBEY RD"HARVEY"W"PROPERTY CUT BY PARISH CONTRACTOR"06/08/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/08/2017"
819156"2017913497"Repeat Offender"1570 ABBEY RD, HARVEY"6/26/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/26/2017"KENSINGTON GARDENS"1570 ABBEY RD"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/08/2017"
814376"2017911815"Repeat Offender"1570 ABBEY RD, HARVEY"6/6/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/06/2017"KENSINGTON GARDENS"1570 ABBEY RD"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/24/2017"
814431"2017911826"Repeat Offender"1534 ABBEY RD, HARVEY"6/6/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"06/06/2017"KENSINGTON GARDENS"1534 ABBEY RD"HARVEY"W"PROPERTY CUT BY PARISH CONTRACTOR"05/24/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/24/2017"
810066"2017910164"Repeat Offender"1534 ABBEY RD, HARVEY"5/16/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"05/16/2017"KENSINGTON GARDENS"1534 ABBEY RD"HARVEY"W"PROPERTY CUT BY PARISH CONTRACTOR"05/03/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/03/2017"
809855"2017910087"Repeat Offender"1570 ABBEY RD, HARVEY"5/15/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"05/15/2017"KENSINGTON GARDENS"1570 ABBEY RD"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/02/2017"
805954"2017908622"Repeat Offender"1570 ABBEY RD, HARVEY"4/25/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"04/25/2017"KENSINGTON GARDENS"1570 ABBEY RD"HARVEY"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"04/08/2017"
