854147"2018902119"Repeat Offender"3044 RIDGELAKE DR, METAIRIE"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"HARLEM"3044 RIDGELAKE DR"METAIRIE"E"
791657"2017903223"Repeat Offender"1713 RIDGELAKE DR, METAIRIE"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"HARLEM PARKWAY"1713 RIDGELAKE DR"METAIRIE"E"INSPECTION COMPLETED/DATE"02/23/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
772734"2016922679"Repeat Offender"1713 RIDGELAKE DR, METAIRIE"10/13/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"10/13/2016"HARLEM PARKWAY"1713 RIDGELAKE DR"METAIRIE"E"COMMENT"02/21/2017"FEES PAID"02/21/2017"BILL PAID"02/21/2017"PAYMENT RECEIVED"02/21/2017"DEMAND LETTER"02/08/2017"
762542"2016918930"Repeat Offender"1713 RIDGELAKE DR, METAIRIE"8/24/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"08/24/2016"HARLEM PARKWAY"1713 RIDGELAKE DR"METAIRIE"E"DEMAND LETTER"01/24/2017"
753494"2016915310"Repeat Offender"1713 RIDGELAKE DR, METAIRIE"7/15/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/15/2016"HARLEM PARKWAY"1713 RIDGELAKE DR"METAIRIE"E"ADVALOREM TAX ORDINANCE"05/03/2017"
746514"2016912541"Repeat Offender"1713 RIDGELAKE DR, METAIRIE"6/14/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/14/2016"HARLEM PARKWAY"1713 RIDGELAKE DR"METAIRIE"E"ADVALOREM TAX ORDINANCE"05/03/2017"
740224"2016910122"Repeat Offender"1713 RIDGELAKE DR, METAIRIE"5/16/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/16/2016"HARLEM PARKWAY"1713 RIDGELAKE DR"METAIRIE"E"ADVALOREM TAX ORDINANCE"05/03/2017"
833471"2017918931"Repeat Offender"133 RIVER BEND DR, RIVER RIDGE"8/25/2017"JUNK CARS"PMZ - WEED CONTROL"08/25/2017""133 RIVER BEND DR"RIVER RIDGE""
791116"2017903565"Repeat Offender"143 RIVER BEND DR, RIVER RIDGE"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"RIVER BEND PK."143 RIVER BEND DR"RIVER RIDGE"E"COMMENT"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"INSPECTION COMPLETED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
791077"2017903727"Repeat Offender"2600 RIVER LN, HARVEY"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"JEFFERSON PLAZA"2600 Block RIVER RD"JEFFERSON"E"COMPLAINT ENTERED/DATE"02/10/2017"
754318"2016915636"Repeat Offender"2600 RIVER LN, HARVEY"7/19/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/19/2016"JEFFERSON PLAZA"2600 Block RIVER RD"JEFFERSON"E"COMPLAINT RECEIVED"07/19/2016"PROPERTY CUT BY PARISH CONTRACTOR"06/21/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/21/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"03/06/2017"INSPECTION COMPLETED/DATE"03/03/2017"FOLLOW UP INSPECTION SCHEDULED/DATE"02/26/2017"
854221"2018902232"Repeat Offender"6001 RIVER RD, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"AMES FARMS"6001 RIVER RD"MARRERO"W"
839957"2017921210"Repeat Offender"6001 RIVER RD, MARRERO"9/25/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"09/25/2017"AMES FARMS"6001 RIVER RD"MARRERO"W"COMPLAINT ENTERED/DATE"09/25/2017"COMPLAINT RECEIVED"09/25/2017"PROPERTY CUT BY PARISH CONTRACTOR"09/12/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"09/12/2017"
831059"2017918057"Repeat Offender"6001 RIVER RD, MARRERO"8/16/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/16/2017"AMES FARMS"6001 RIVER RD"MARRERO"W"COMPLAINT ENTERED/DATE"08/16/2017"COMPLAINT RECEIVED"08/16/2017"PROPERTY CUT BY PARISH CONTRACTOR"07/31/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/31/2017"
826238"2017916148"Repeat Offender"6001 RIVER RD, MARRERO"7/26/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"07/26/2017"AMES FARMS"6001 RIVER RD"MARRERO"W"COMPLAINT ENTERED/DATE"07/26/2017"COMPLAINT RECEIVED"07/26/2017"PROPERTY CUT BY PARISH CONTRACTOR"07/11/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/11/2017"
